sent_rating,processed_text_NoStopwords,data
positivo,tinha echo dot geração comprei promoção nivel design ficou melhor liga design echo dot geração serve perfeitamente,2021-07-09 00:00:00
negativo,mídia carregada semana pára funcionar tenta falar pisca vermelho tirar tomada ligar novamente funcionar toca alarmes compromissos Enfim acaba sendo inútil confiável,2022-01-02 00:00:00
positivo,Alexa nestes tempos solidão passou mero produto tecnológico condição leal companheira diversas tarefas sobretudo escolha execução músicas atualização informações Nota 100 Alexa querida companheira,2020-11-28 00:00:00
positivo,Som seja ambiente fechado contava comandos alexa ótima aquisição ficar escutando musica cozinha limpa casa deveria acesso aplicativos música music unlimited spotify poderia funcionar chamadas telefone estiver conectado nela infelizmente chamadas contas amazon excelente secretária agendamentos remédios cronometro avisa poderia ler mensagens whatsapp Twitter interessante próximas versões,2021-07-21 00:00:00
positivo,pra começar ouvir músicas simples comando voz som satisfatório Ligar luz comando voz(necessário lâmpada compatível comprar tomada específica definir hora ligar ventilador conectado nela carregar celular pedir Alexa desligue tomada horas bolinha mágica sai,2021-10-03 00:00:00
negativo,qualidade som básica suficiente pra vc curtir legal dispositivo qualidade microfone péssima sensibilidade fraca preciso repetir várias pra ouvir acionada Nest Mini totalmente diferente sensibilidade recomendo produto recursos legais vc acionamento voz fique claro terá gritar pra ouvir,2021-04-13 00:00:00
positivo,Gostei produto comprado juntamente dispositivos agregarem ambiente alexa sozinha compraria reconhecimento voz dia preciso gritar e/ou falar 0-10 dou 4 pro microfone alto-falantes bons música alta qualidade comandos voz dispositivos inteligentes tomada controle inteligente interruptor responde importante spotify skill horrível precisa melhorar,2021-02-01 00:00:00
positivo,Echo dot 4 problema sério capaz escutar voz comparado 3 3 cozinha estando sala 3 escuta responsivo 4 fica sala reportei falaram pra reconfigurar resolveu 4 qualidade som melhor decepcionado,2020-12-26 00:00:00
positivo,audio versão superior anterior Echo Dot 2nd Gen melhora impressionante baixos especialmente Infelizmente impressão reconhecimento voz piorou dificuldade acionar dispositivo chamar Alexa ficando pequeno Apesar melhor tinha aúdio superior decepcionou fonte comprei echo dot preto fonte cabo dele brancos fica feio optaram conector péssimo melhor USB C.,2020-12-09 00:00:00
positivo,Simplesmente maravilhoso conhecia linha Echo comprei passei recomendar pra familiares aparelho possui qualidades únicas pra mim sido útil lê ebooks pra mim trabalho rotinas ótimas pra organizar dia ouvir rádios mundo espetacular Enfim satisfeita compra compraria pudesse,2020-12-09 00:00:00
negativo,dot 3a geração pra escutar gen 4 surda gritar abaixar volume dela pra escutar achei horrível fonte 15W mesma potência dot 3 30 vir cor diferente branca aparelho preto).No acho novidade qualidade som achei,2020-12-08 00:00:00
positivo,dúvida Echo Dot 4 ficar tranquilo aparelho cumpre fielmente propõe Áudio ótima captação voz design bonito Echo Dot 3 possui ótimo design funcional importante ressaltar automação basta Echo Dot adquirir dispositivos acordo necessidade automação tomadas inteligentes controle universal infravermelho interruptores inteligentes lâmpadas wi-fi etc Echo Dot 4 excelente escolha automação entretenimento recomendo,2020-12-29 00:00:00
positivo,li comentários negativos modelo Alexa dizendo ouve afirmo letras ouve super falo nome dela querer conversa casual ativa Ja ativei fica sala precisar gritar falando alto ambiente fica basta falar normal voz baixa ativa perfeitamente surda querer ativar Alexa 1 km distância pq funcionalidades ótimas queria registrar certo receio comprar surda,2021-10-13 00:00:00
positivo,Simplesmente ótima som possui subgrave nítido incrível levar conta potência 15wrms som extrema qualidade importante vejo dificuldade Alexa geração ouvir comandos sinceramente reclamar fiz teste fechando porta pedindo pra executar tarefa estando outro cômodo casa ouviu precisei falar alto dica dou deixem objetos frente Alexa atrapalhar comunicação Resumindo satisfeito valeu centavo,2021-07-09 00:00:00
positivo,havia dado Echo Dot presente adoraram presente Comprei junto lâmpada smart Positivo Entretanto reclamação Echo Dot lâmpada vieram soltas caixa mostro foto Torço tenha havido nenhum dano Amazon show bola entregas. ️ ️ ️,2021-08-06 00:00:00
positivo,assistente super inteligente rápida compra Siri Google now entende devolve resultados positivos rápidos Poucas compreende pedido Funciona melhor cômodos pequenos Fiz teste funciona 100 cozinha som fica alto escuta 100 livros toca música apaga luz café realmente indispensável dia dia,2021-09-15 00:00:00
positivo,comprei home office pequenos discreto bonito áudio satisfatório reclamar microfone desses 2 cômodos capta voz pequeno prático provavelmente levarei comigo viagens,2021-07-04 00:00:00
positivo,confunde algum outro som tv ligada entende digo acho falo rápido sotaque esperar engraçadinha Google resposta vida universo oOPodem comprar pessoal Funciona integrado lâmpadas equipamentos echo dot casa Jeff Bezos ouvir conversas particulares,2021-07-10 00:00:00
negativo,expectativa desenvoltura IA deixou desejar perguntas simples Google Assistente sai melhor resumo IA convence hardware construído possui qualidade construtiva belo design potência sonora adequada uso espere volume IA sendo eficiente esperava valeu compra consegue auxiliar tarefas alarmes listas compras música cálculos pesquisas básicas Recomendo,2021-10-07 00:00:00
positivo,vive brinquedinho legal aprendendo Reconhecimento voz ok precisa falar pausado estivesse falando ET skills tornando interessante Integração dispositivos casa inteligente super simples realizar Acredito evoluir vale investimento,2021-05-30 00:00:00
negativo,informações falam conectar dispositivos Wifi e/ou Bluetooth Echo Dot 4 realizar sincronismo descobri verdade conectar dispositivos Wifi precisam compatíveis Alexa Bluetooth necessitam Speaker Wireless espécie adaptador consiga sincronizá-lo DEIXOU DESEJAR PONTO).Demais funcionalidades gostei reclamar,2021-07-07 00:00:00
positivo,inteligencia artificial Alexa reconhece nomes próprios som estiver alto ambiente encontra Echo 4 provavelmente terá falar alto Alexa responda recomendo compra experiencia interativa produto proporciona interessante,2022-01-02 00:00:00
positivo,Justamente achei interessante proposta Alexa assistente virtual Amazon massa realmente!Porém acho poderia otimizar experiencia usuário software personalização interessante chamar Alexa 3 opções outro nome responda comandos seriam super interessantes verdade acho melhorar isso)De resto características físicas estrutura lograda solida desig lindo apresenta luzes qualidade som Fisicamente incrível desig,2021-06-23 00:00:00
positivo,Echo aurpreendi feito Alexa Superou expectativas cixa som sabendo realmente ajuda único coloco observação qualidade sonora desmereça compra mesma qualidade caixas JBL menores opinião,2021-06-24 00:00:00
negativo,geração maravilhoso comprei surda precisa gritar equipamento conseguir escute estiver tocando ouvir!Se arrependimento feito troca defeito especificamente comentários vi realmente problema evolução!Estou insatisfeito produto,2021-05-23 00:00:00
negativo,Gostei comprei echo comprei echo dot 4 Descobri posteriormente par stereo echo dot semelhantes Comprei som ambiente principal decepção par stereo via bluetooth conteúdo Alexa firetv vc pensa comprar esqueça compre hometheater,2021-12-16 00:00:00
positivo,qualidade som delea excelente Reconhecimento voz impecável executar comandos lâmpadas Smarts Smart tv câmeras Smart funcional!Toca músicas músicas específicas precisa Amazon Music Spotify Deezer Lee livros livro tenha adicionado celular Kindle Loja Amazon Brincadeiras jogos piadas interessantes,2021-07-02 00:00:00
positivo,Obviamente produto conhece tecnologia alguém possa fazendo configurações produto maravilhoso facilitar muitas coisas dia dia tbm auxiliar segurança casa único detalhe gostei qualidade som acredito modelo som premium tenha resolvido,2022-01-11 00:00:00
positivo,produto simples abertura caixa configuração servido maneira excelente ouvir música criar gerenciar listas compras casa app instalado celular inseriu lista aparece fica fácil supermercado vou achar funcionalidades,2021-08-09 00:00:00
negativo,adorei achei chato cliente prime comprar Alexa consiguir promoção planos Amazon music achei conversava gente responde perguntas Amazon excelente podesse melhorias ficaria P galáxias 1 inteligência conversação tiver achei consiguir configurar nela)2 promoção descontos pra compra echo dot 3/4 principalmente pra cliente comprou Alexa.3 interessante conseguisse procurar alexas certos metros vizinhos poderiam amizade kkkm,2021-03-25 00:00:00
positivo,2 semanas uso produto incrível sombra dúvidas!Serve enfeite estante luz interaje modo sussurro toca música falar nisso subestimei capacidade som dela som incrível conecta via bluetooth notebook celular tamanho cabe palma mão 10 cm altura > Uso controlar kit casa inteligente positivo perfeitamente,2021-07-29 00:00:00
positivo,Echo Dot fácil instalar inicializar Alexa ajuda dia-a-dia Uso várias atividades ouvir música Alexa ler mim resumo notícias etc. ressalva alimentada cabo energia rede elétrica Deveria vir bateria recarregável porta USB,2021-07-07 00:00:00
positivo,Diferentemente pessoas reconhecimento voz dela ótimo pega cômodo inteiro falar alto som dela incrível pequena consegue barulho ótimo modo cochicho falar noite resposta comando rápida apagar luz diversos comandos divertidos adorei,2021-06-30 00:00:00
positivo,Vi várias reclamações Echo dot 4 surda problema 10 comandos acordar tinha repetir Comprei Echo Show 8 colocar ambiente Echo show falha sensibilidade Som Echo Dot 4 razoável lembra JBL-Go pequeno ótimo Design clean elegante,2021-03-18 00:00:00
positivo,hora comprar fiquei dúvida geração comprei falar arrependimento nenhum Excelente qualidade escuta consigo chamar tranquilamente sala pro,2021-07-01 00:00:00
negativo,ignora muitas preciso falar alto espero resolvam problema,2020-11-14 00:00:00
positivo,Chegou rápido extremamente útil Pessoal fica comentando volume som idéia produto tocar música pra festa produto pra deixar música ambiente bacana qualidade escritório sala quarto).Qualidade sonora satisfatória pro perfil produto microfone Alexa funciona distância precisa caixa pra falar 3 4 metros escuta atende necessidades,2021-07-02 00:00:00
positivo,super legal útil ajuda coisas automatizadas casa porem posicionamento microfones dela dependendo ficar posicionada fica surda tendo gritar momentos estresse ouve vou traz dela gritar ouve recomendo usem cantos cômodos geração 3 lugares centralizados,2021-06-19 00:00:00
positivo,Comprei Echo Dot servir caixa som tocar músicas favoritas churrasco Serviu perfeitamente finalidade surpresa servido finalidades lembretes consultar horas lembrar eventos calendário elaborar lista compras supermercado reconhecimento voz sensacional Reconhece comandos estando dispositivo sala satisfeito,2021-07-06 00:00:00
positivo,Excelente aquisição principalmente comprou promoção Black Friday reconhecimento voz perfeito sons graves melhores Echodot 3 achei agudos fracos som Echodot 3 acho preenche ambiente acho produto principalmente pensa automatizar casa futuro,2020-12-05 00:00:00
positivo,Olha disponibilizam cor preta cor branca pra comprarmos cor escolhida mandam produto preta carregador branco Ei escolhi preto combina móveis preto comprei Echo Dot 4ª Geração Smart Speaker Alexa Cor Preta veio carregador branco.produto ótimo problemas designer entender oferece preto preto cores produto.attsergio,2021-12-08 00:00:00
positivo,Alexa incrível Responsiva eficiente propostas qualidade material satisfeito incomoda Alexa fato dela reações orgânicas poderia GENIAL aplicativos skills precisam melhoradas implementadas controle aplicativos TV,2020-12-11 00:00:00
negativo,identificador voz demora reconhecer identificar comando ativação aparelho ótimo principalmente publico intimidade tecnologia Sendo pedidos via voz prontamente atendido resumo noticias musicas artistas específicos rádios serie atividades interagem pessoas Única dificuldade aparelho reconhecer comando ativação acaba demorando criando frustração busca atividade,2022-03-07 00:00:00
positivo,reconhecimento voz poderia preciso momentos Alexa nao reconhece naontira brilho aparelho amei Echo qualidade som excepcional ja esperava comentários descritivo produto decepcionante disse amei top linha haha,2021-12-16 00:00:00
positivo,Echo Dot período apresentou ótimo funcionamento dificuldade reconhecer voz comandos Fiquei surpreendido qualidade sonora alto-falante músicas achei incrível Add-ons Lâmpadas TVs Smarts dispositivos suporte Alexa leque possibilidades funcionalidades dela amplia fica divertido utilizar-la,2021-06-09 00:00:00
positivo,echo dot 4 ° geração alexa simplesmente perfeita opnião muita facilidade registrar skills alexa app celular facilita ajustes relógio alarme facilitado necessitamos muita configuração chegar queremos alexa interativa digamos participativa auxiliando muitas tarefas dia dia comprar fazendo investimento arrepender,2021-12-11 00:00:00
positivo,filha queria divulgações Alexa comprei pra testar aprender ensinar adorou achei alexa dificuldade ouvir repertório melhorado con vantagem assistente virtual aprender muita irei investir negócios pra mostrar Espero arrumar patrocínio ja pediu monte coisas pra divulgar,2021-01-31 00:00:00
negativo,Achei produto pior geração Surda demora responder comandos receptor wifi melhor capta sinal 3a geração funcionam normalmente som achei pior encorpado Único positivo mim estética,2021-12-07 00:00:00
negativo,som realmente incrível elogios conexão bluetooth cai direto Alexa atrapalha descobrir modo brief falar coisas desnecessárias muita busca pq aplicativo ruim fio carregador curto horrorosamente branco mesa preto echo dot moral vale pena comprar caixa som bluetooth JBL gênero,2021-09-02 00:00:00
positivo,quis experimentar Alexa vivo experiência casa inteligente incrível Deixa dia-dia prático fácil chegar casa musica precisar levantar apagar luz desligar tv dormir ficar dia notícias localizar filmes series rapidamente tv fire stick consigo ligar amigos possuem alexa própria echo dot,2021-07-05 00:00:00
positivo,adquirir produto pesquisei sites comentários fiquei pensativo falavam som tinha delay realizar comandos pequenos problemas verdade?Não encontrei nenhum problema som perfeito graves respostas comandos claros rápidos,2021-04-30 00:00:00
negativo,gostei qualidade som funcionalidade timer lembrete lista compras quantidade skills limitada muitas nao funcionam direito tbem nao pra conectar aparelhos mesma alexa assistente voz iphone ligacao alexa pessoas tbem tenham dispositivo,2021-07-01 00:00:00
negativo,prática funciona Começamos usando português bugou parou entender comandos substituía músicas aleatórias título similar comando Mudamos inglês passou entender capaz entender pedíamos raras exceções Mudamos novamente português windows modificação quebra nela reprodução música caixa som decente,2021-01-12 00:00:00
negativo,Produto ótimo fosse bugs trava comandos fica entender comandos problema microfone algum problema som processamento desliga tomada reinicia aparelho volta reconhecer todoso comandos bugar novamente,2021-07-24 00:00:00
positivo,mídia carregada Alexa amorzinho casa extremamente infinitamente melhor assistente virtual.(tenho Siri infinitamente melhor Siri)Depois ganhei Compramos filhas pra sogra,2021-08-12 00:00:00
positivo,assistente virtual facilitado dia dia Facilidade agendar lembretes incluir itens lista compras enviar mensagens marido trabalho casa dentre funções som alto imaginava rs Adoro acordar pedir tocar playslit favorita Mourning Routine,2021-07-24 00:00:00
positivo,opinião echo dot 3º geração reconhecimento voz melhor som agradável 360º).Essa echo dot 4ª diversas escuta tendo gritar reconhecimento voz curta distancia echodot 4 funciona deixar algum reconhecimento voz durante noite deitado cama acabar acordando casa acontece echo 3,2021-01-05 00:00:00
negativo,fica surda momentos fala grita dela responder Percebi echo namorada 1 ano chegou dezembro Contanto tenha provedor música toca aceita comando repetir música opção luzes funcionar música tocando Várias restrições bobas Gosto penso deveria comprado Google recursos,2022-01-07 00:00:00
positivo,qualidade som funções úteis dia-a-dia comecei explorar funcionalidades automação residencial Alexa integrou rotina casa ações despertar ler noticias previsão leitura livros conta kindle incrível tocar musicas lembretes simples distração joguinhos simplesmente papeando descobrindo funções engraçadas possui,2020-12-17 00:00:00
positivo,Prático dia dia casa automatizada facilidades falar diversos recursos mandar mensagens ligar pessoas casa útil falar filho,2022-01-04 00:00:00
negativo,produto interessante deficiente limitada comparada Google Assistente chega vergonha inteligência artificial converte comandos voz comandos predefinidos melhor funcionalidade Alexa pergunte Google qualidade som propósito fio branco caixa som preta CABIMENTO,2021-01-26 00:00:00
positivo,compras interessantes fiz Pra mim música perguntas alarmes lembretes Comprei sonoff mini automatizei luzes eletrodomésticos Criei rotina acordar alarme dia liga luz cozinha cafeteira sintoniza rádio costumo escutar manhã dúvida precisa duvidar,2021-08-10 00:00:00
positivo,qualidade som apesar apresentar distorção nítida aumentar volume comprado geração anterior qualidade som aumentar volume inferior apresenta pequeno bug ouvir atender nenhum comando tendo reiniciada voltar Comparando versão anterior melhoras deixou desejar,2021-02-27 00:00:00
positivo,pesquisando fiquei dúvida comentários diziam Alexa dificuldade ouvir pra surpresa escuta comandos outro cômodo som 100 Aliás som generoso ótima definição alto imaginava volume 100 impossível manter conversa ambiente acertiva entender pedido rápida executar acordo noite voz sono peço pra ligar luz encantado recomendo,2021-04-17 00:00:00
positivo,Amei Alexa Agenda compromissos alarmes rotinas informação clima notícias excelente dispositivos inteligentes lâmpadas tomada controle universal conversa agiliza vida perder celular casa pedir ligar falar possibilidade conversar contatos app instalado ótimo investimento precisa ferramentas organização,2021-09-01 00:00:00
positivo,Produto maravilhoso coisas imaginei poderia vi probleminha certa dificuldade reconhecimento voz grave surpreende fato interage gente pedir alembra tomar remédios Engraçado pronuncias durante informações fala pai tá on kkkkk contar imita coisas beatbox kkkkkk coisas,2021-01-21 00:00:00
negativo,propagando fato Várias impossibilidades aplicação associação aparelhos Requer aquisição aparelhos recursos semelhantes usufruir Recurso música insistindo adquirir pacote Amazon ouvir músicas afins disse propaganda resultado,2021-07-04 00:00:00
positivo,alexa simplesmente incrível assistente nela funções básicas dia dia tbm muita skills adicionadas dia Jogo várias coisas irmã pequena diverte Pretendo automações Super recomendo tenha dúvidas comprar vale pena investimento,2021-04-07 00:00:00
positivo,preço certo comprei prime day desconto ótimo som dela alto claro graves consideráveis acredito q seja perfeita vc utilizá-la pra sala algum cômodo acredito vc deva escolher echo 4 ° geração tamanho volume echo Dot perde perfeita reconhecimento voz falando entende nome tiver tocando música nenhum problema,2021-06-26 00:00:00
positivo,fácil configurar fácil vinculei contas deezer som ótimo entendeu falei recomendo praticidade gostando usabilidade,2021-08-19 00:00:00
positivo,Qualidade som satisfatória uso doméstico equivalente JBL Pulse geração Reconhecimento voz surpreendente 3 metros distância pessoas falando ambiente Interação fantástica única falha dificuldade executar podcasts entende comandos longos reproduz episódio antigo atual,2021-03-12 00:00:00
positivo,usando Alexa pra ouvir música lembretes smart lâmpada comprei reclamar caso parar coisas pra procurar músicas ajuda aprendo funções contente som dela reconhecimento voz valeu pena investimento,2021-02-04 00:00:00
positivo,mídia carregada Fiquei medo vir surda problema som limpo detalhado anterior pra perceber prestar atenção design dela pra usado decoração,2021-06-29 00:00:00
negativo,sabia utilizar vc assinante caro assinar 8 reais média Alexa ano der problema assistência técnica seja comprar opniao extremamente negativo,2021-02-01 00:00:00
negativo,Produto designer legal falha reconhecer voz atende chamada som acústica distorce médio alto acima poucos itens conectar casa automatizada precisa itens extras difícil acesso custo enormes Echo Dot reconhecimento limitados cancelaria compra vou caixinha música gosto devoluções,2021-04-17 00:00:00
positivo,Produto perfeito sonhei atende espequitativa reconhe comando voz perfeitamente vi comentários som tava ouvia problemas fiz testes saiu perfeito problema atualização problema nenhum recomendo som alto 4x4 perfeito,2021-07-07 00:00:00
positivo,Excelente surpreendeu qualidade áudio recursos assistente Alexa melhores esperava recomendo pra entrar mundo Alexa modelos ecoshow pra prefere tela pra gosta som potente eco 4 geração fica critério necessidades pra entrada ecodot 4 geração excelente escolha,2021-01-03 00:00:00
positivo,Excelente produto cumpre promete faltam funções skills).Qualidade som razoável Recepção sonora fala Bonito decorativo descrição site Amazon poderia melhor induziu erro grave acreditava Echo Dot tinha relógio luminoso Enfim satisfeito oportunamente irei atualizar compra versões recentes,2021-06-06 00:00:00
positivo,deixo echo dot 4 notebook desliga Skill certa configuração certa Deixei caixinha som pra assistir vídeos YouTube falar Alexa Bluetooth ai responde Pesquisando ai pareia PC via bluetooth som PC começa sair Alexa tá pra ajudar escutando ouvir gente realmente raros casos volume música escuta chamado aceitável acontece frequência gritar,2021-02-05 00:00:00
positivo,entrega prazo produto esperava qualidade som ok alto consegui conectar bluetooth computador pra fosse caixinha som vi muita gente fazendo vi muita gente conseguiu kkk vou PCs Bluetooth pra poderiam colocar bateria nela né legal c,2021-07-29 00:00:00
positivo,mídia carregada Melhor aquisição últimos anos!O som qualidade volume satisfatórios!Reaponde comandos certa distância consegui personalizar skills vou tentando!A única deixou decepcionado tamanho foto echo dot perfeito!Tô satisfeito,2022-02-23 00:00:00
positivo,surda identificação voz 3 geração reponde melhor ocorre recepção Wi-Fi precisei trocar geração essa(4a geração recepção Wi-Fi 3 geração bolacha recheada perde conexão facilidade perde brigado deixá-la roteador modelo anterior ficava outro cômodo,2021-03-14 00:00:00
positivo,Produto alta qualidade fácil reconhecimento voz som potente Responde praticamente assunto conecta login Amazon app AmazonMusic via celular Recomendo,2021-11-02 00:00:00
positivo,tinha echo dot 3geração comprei promoção 4a geração agradam modelo percebo surda anterior luzes inferior ficaram práticas conseguirem rodar atualização aumente sensibilidade escuta ideal,2021-04-08 00:00:00
positivo,reconhecimento voz escuta toca músicas agitadas hora passei volume 7 mim suficiente qualidade som travadas semana interferência incomoda aliás normal??Do,2021-04-09 00:00:00
positivo,Cumpre proposto produtos conseguir conectar mesma fica melhor facilidades trás Acredito avanços vá ficando melhor Único ruim produto si entregador jogou caixa portão casa sorte sofreu nenhum dano Recomendo compra fiquem olho promoções,2021-07-08 00:00:00
negativo,proposta conectar aparelhos casa inteligente funciona Comprei lâmpada pra controlá-la Alexa hora uso desconectou seja uso procedimento pra conectar acontece tv Tbm possui Alexa gostaria integra-lãs solicito função Alexa responde TV nao disponível legal conversar brincar casa inteligente funciona fato,2021-12-30 00:00:00
positivo,Utilizo Alexa atendeu única entendendo esteja sabendo configurar TV LG Consigo ligar TV Alexa único comando consigo outro comando desligar mudar canal aumentar diminuir volume resposta TV respondendo verifique conexão rede fonte alimentação verifiquei consegui solucionar problema,2021-11-05 00:00:00
positivo,Ótimo produto qualidade som maravilhosa única produto reconhecimento voz pessoa fala atende hora ligar fiz reconhecimento voz serviu reconhece voz,2021-08-12 00:00:00
positivo,fiquei preocupado comprei vi comentários falando escuta banheiro distante Echo Dot casa consigo falar escutar problema algum casa barulhenta passa onibus unica entenda errado fala enrolado precisa fale clareza elogios,2021-06-27 00:00:00
positivo,produto incrível qualidade construção passa sensação durar vale pena comprar modelo sensação mesma Kindle Paperwhite 2017 funcionando incrível comprado sábado recebido terça exatos dias prazo dado inicialmente Amazon Senhoras senhores empresa,2020-12-02 00:00:00
negativo,Muitas funções funcionam direito ligar desligar tv lâmpada Esperava produto caixa música funciona perfeitamente deixa desejar quesitos prometidos investimento cobrado,2021-04-29 00:00:00
positivo,mídia carregada Deu pequeno trabalho pra conectar lâmpadas Elgin pareou app Smart Life problemas Consegui criar rotinas legais tá fluindo qualidade som Alexa ouve alcance pra casa tá super boas Cobre praticamente casa captação microfone Echo dot,2022-03-16 00:00:00
positivo,Gostei dispositivo auxiliar ligar dispositivos SmartHome lembrete etc. versões achei Alexa 4º geração surda rs Brasil burrinha limitadas espero vá melhorando qualquerforma recomendo legal,2021-07-23 00:00:00
positivo,ótimo suporte constante crescimento comprei intuito facilitar vida uso lâmpadas wifi alexa compatível encontrei encontro problemas compreender português completamente acervo palavras entender coisas aparelho incrível compacto potente apesar tamanho pequeno bola carregador cor echo escolhida,2021-07-03 00:00:00
negativo,gostei aparelho escuta facilidade repito 3 Amazon quiser mandar 3a geração aceito trocar gostei Prefiro luz superior tbm dependendo ambiente deitado sofá enxergo faixa led tá funcionando ouviu Recomendo 3a geração tbm possuo,2020-12-19 00:00:00
positivo,Comprei pai aniversario deficiente visual idoso amando trocar nome Echo ficou fácil gravar ama musica Alexa dando oportunidade ouvir musicas antigas ama recomendo excelente ferramenta distração idoso eficiente resposta estamos aprendendo comandos voz serem explorados,2021-05-24 00:00:00
positivo,Comprei Echo Dor 4a Geração Fiquei super feliz comprei funcionalidade música desejava funcionou dia fala informações jornais G1 etc. acessa amazon músic spotify Tentando resolver há semana solução!Demorei conseguir falar suporte enfim consegui pessoa maravilhosa paciência ajudou,2021-05-09 00:00:00
positivo,gostei luzes dependendo ângulo vc consegue visualizar parecia bonita visível som direcional gostei normalmente fica mesa precisava 360 graus reconhecimento voz dela melhor geração 3 Gostaria comprar echo studio porem dinheiro devido alto,2021-07-07 00:00:00
positivo,qualidade som relativamente alto tamanho Atendeu expectativas achei legal alexa reconhece vozes comando pra apagar luz sai casa pessoa falar alexa ligar luz luz acende serer pra comando VC estiver dormindo alguem falar alexa toque música música ira acordar ira tocar alexa teria responder vozes cadastradas,2021-06-09 00:00:00
positivo,pra escutar música qualidade ambientes pequenos comandos respondem fato escutar vejo normal produto seres humanos pedimos pra repetir pq escutamos Alexa Recomendo,2021-05-02 00:00:00
positivo,aparelho possui excelente qualidade problemas conectar wi-fi Diferentemente versão anterior conectou maiores problemas APP celular conectar manualmente Alexa funcionou fiz diretamente computador passar quase 30 min conversando atendente problema atualização software App precisa ajustado,2021-06-09 00:00:00
positivo,instalada pequeno comporta principalmente microfone fator principal reclamações produto entrega rápida amazon exibir transportadora será utilizada compra pedido frete grátis compra entregue transportadora loggi,2020-12-06 00:00:00
positivo,"melhorar muita pergunta acende luz azul responde perguntas responde ISSO.Ontem disse ALEXA FALE ANOS 50""!Ela disse CERTEZA"".kkkkkkkkkkk",2021-10-22 00:00:00
positivo,Unica comentar fato momentos comandos aparelhos smart funcionam consegui identificar desligar tomada precisa restabelecer comunicação sentido,2020-12-30 00:00:00
positivo,ressabiado echo dot boas surpresas reconhecimento voz Alexa ouve compreende 5 mts fato relógio visível problema bastava perguntar Alexa Aúdio apresenta deformação volume 8 necessariamente caixa música som limpo alto Indico confiante desejar adquirí-la,2021-03-12 00:00:00
positivo,skills fracas interação aplicativos completa Deezer consigo abrir música aplicativo tocar Echo Dot peço Alexa tocar playlist Deezer encontra funciona flow alguma música específica qualidade som reconhecimento voz perfeito,2021-02-03 00:00:00
positivo,reconhecimento voz perdeu comparado versão anterior Preciso chamar resposta versão anterior problema qualidade som duvida melhor versão anterior claro,2020-12-02 00:00:00
negativo,anterior ate hoje funciona parou reconhecer comando som so funciona conectar celular recomendo suporte arrumar troca carregador to responde comando voz RECOMENDO,2021-03-26 00:00:00
positivo,Alexa si assistente incrivel Ganha lavada google echo adorei Comprei cor Azul bonita Facil programar audio excelente Reconhecimento voz Comprei promoção semana consumidor valeu pena Aguardando promoções comprar,2021-04-05 00:00:00
positivo,Gostei produto tamanho médio potente única ressalva demora reconhecer comandos ótimo equipamento,2021-05-13 00:00:00
positivo,ajuda durante dia principalmente aciono rotinas programadas app Alexa som qualidade alto cheguei volume reconhecimento voz precisa fale alto chegue pra entender incomode reconhecimento voz durante músicas excelente,2021-05-07 00:00:00
negativo,Extremamente dececionado produto tinha geração ouvia fica simplesmente surda tocando alguma necessário gritar pra ouça normalmente executa comando relacionado pediu Impressionante piorou geração recomendo investimento Compre geração espere sair horrível,2020-12-24 00:00:00
negativo,Alexa possui bateria item deixaria perfeita base dados várias perguntas ficam resposta ótimo produto assistente funciona super lembrete reconhecimento voz músicas pedimos Amazon Music Spotify Deezer jogos momentos diversão possuem base limitada acaba sendo repetitivo,2021-08-12 00:00:00
negativo,conectividade aparelhos residências difícil fácil acessar,2020-11-16 00:00:00
negativo,Alexa ajuda assistente pessoal responde várias coisas aleatórias pergunto funções timmer lembrete ótimas criar alarmes função adicionar itens lista compras outro positivo bateria risco ligar estragar bateria negativo ficado surda 1,2021-04-30 00:00:00
positivo,tinha assinatura Prime som alto limpo alta qualidade vantagem comprar caixinha Bluetooth pra ficar pareando celular Natal Réveillon som qualidade,2021-12-14 00:00:00
negativo,Pior compra fiz echo dot 3 show 5 perfeitas echo dot 4 funciona aceita configuração Atrasou automação precisei refazer inúmeras tentativas configuração continua dizendo atualizando seguida informa atualizar confirguarm segui orientações resolver Totalmente inutilizada,2021-07-05 00:00:00
positivo,Gostei realmente espera faça qualidade som surpreendeu falhas pedir música tocar Acredito tecnologia melhorando precisão crianças adoram jogar Akinator,2021-04-30 00:00:00
negativo,consigo Amazon Music dispositivos Dot Estudio Interrompe reprodução Mando Amazon Music reproduzir repente música volta reproduzida smartphone Alexa dispositivos Wi-fi perdendo configuração conexão Alexa fica completamente louca obedece comandos chateado Vou cancelar Amazon Music,2021-03-29 00:00:00
positivo,aparelho incrivel atende necessidades consegui conectar TV LG principais razões comprei Echo dot atendeu feliz produto,2021-07-12 00:00:00
positivo,testando produto vi excelente produto Consigo comandos pc tocar músicas comprei lâmpada smart pra junto consegui controlar tv sala acho problema app Samsung tv offline Continuarei testando tentarei utilizar lâmpada ótimo produto,2021-03-20 00:00:00
positivo,AI interessante há espaço ficar abrangente uso intuitivo aparelho chegou link Xbox link desapareceu restaurado manualmente motivo aparente crítica construtiva som precisa melhorar inferior aparelho Google falar caixas encontradas mercado Comparo considerando preço,2021-07-06 00:00:00
